=====================================================================================
🏛️ QM MASS-BACKTEST ERGEBNISSE | Margin: $5,000
=====================================================================================
Coin         | TF    | Trades   | Win Rate   | Max DD   | Netto PnL   
1000FLOKIUSDT | 1h    | 59       | 37.29 %   |  9.97 % | $+42,919.49
1000FLOKIUSDT | 4h    | 11       | 36.36 %   | 11.67 % | $+11,884.35
UMAUSDT      | 1h    | 64       | 40.62 %   | 14.15 % | $+63,316.02
UMAUSDT      | 4h    | 16       | 31.25 %   | 20.91 % | $+2,485.42
NMRUSDT      | 1h    | 75       | 33.33 %   | 22.45 % | $+8,451.84
NMRUSDT      | 4h    | 22       | 45.45 %   | 10.28 % | $+66,031.62
MAVUSDT      | 1h    | 64       | 35.94 %   |  9.83 % | $+60,794.03
MAVUSDT      | 4h    | 11       | 54.55 %   | 23.45 % | $+94,995.50
XVGUSDT      | 1h    | 64       | 35.94 %   | 18.33 % | $+45,298.41
XVGUSDT      | 4h    | 11       | 54.55 %   | 14.45 % | $+46,728.07
WLDUSDT      | 1h    | 72       | 34.72 %   | 12.94 % | $+45,441.63
WLDUSDT      | 4h    | 8        | 50.00 %   | 10.97 % | $+19,329.37
PENDLEUSDT   | 1h    | 71       | 28.17 %   | 19.95 % | $+443.18
PENDLEUSDT   | 4h    | 13       | 46.15 %   |  9.67 % | $+34,542.33
ARKMUSDT     | 1h    | 53       | 33.96 %   | 16.96 % | $+22,122.83
ARKMUSDT     | 4h    | 12       |  8.33 %   | 38.61 % | $-38,610.35
AGLDUSDT     | 1h    | 69       | 26.09 %   | 14.66 % | $+10,218.26
AGLDUSDT     | 4h    | 18       | 50.00 %   | 15.75 % | $+44,033.36
YGGUSDT      | 1h    | 47       | 42.55 %   | 22.00 % | $+34,274.93
YGGUSDT      | 4h    | 14       | 50.00 %   | 14.92 % | $+53,780.88
DODOXUSDT    | 1h    | 63       | 38.10 %   | 13.95 % | $+53,490.90
DODOXUSDT    | 4h    | 19       | 42.11 %   | 20.66 % | $+27,224.50
BNTUSDT      | 1h    | 68       | 27.94 %   | 19.74 % | $+18,029.90
BNTUSDT      | 4h    | 15       | 46.67 %   |  8.48 % | $+35,115.03
OXTUSDT      | 1h    | 67       | 38.81 %   | 15.52 % | $+53,332.88
OXTUSDT      | 4h    | 20       | 40.00 %   | 14.64 % | $+14,118.37
SEIUSDT      | 1h    | 45       | 35.56 %   | 13.11 % | $+31,158.38
SEIUSDT      | 4h    | 15       | 33.33 %   | 22.02 % | $-7,643.37
