===========================================================================
📊 SMC MASS BACKTEST | Margin: $1,000 | SL: 0.4%
===========================================================================
Coin            | Trades   | Win Rate   | Max DD   | Netto PnL   
MOVEUSDT        | 9        | 44.44 %   |  1.80 % | $+1,105.44
RAYSOLUSDT      | 16       | 18.75 %   | 10.20 % | $-9,335.02
KOMAUSDT        | 6        | 50.00 %   |  2.27 % | $+6,035.16
VIRTUALUSDT     | 13       | 30.77 %   |  4.22 % | $-3,433.61
SPXUSDT         | 10       | 30.00 %   |  4.02 % | $-2,064.09
MEUSDT          | 19       | 21.05 %   | 12.45 % | $-3,998.91
AVAUSDT         | 12       | 33.33 %   |  4.20 % | $-1,204.07
DEGOUSDT        | 10       | 30.00 %   |  4.99 % | $-1,346.47
VELODROMEUSDT   | 3        | 33.33 %   |  1.51 % | $+959.81
MOCAUSDT        | 8        | 12.50 %   |  4.74 % | $-3,690.01
VANAUSDT        | 13       | 38.46 %   |  4.24 % | $-259.35
PENGUUSDT       | 11       | 18.18 %   |  5.82 % | $-2,880.34
LUMIAUSDT       | 8        | 12.50 %   |  5.66 % | $-5,221.34
USUALUSDT       | 4        | 25.00 %   |  2.58 % | $-2,485.58
AIXBTUSDT       | 9        | 22.22 %   |  7.39 % | $-2,644.38
FARTCOINUSDT    | 10       | 50.00 %   |  1.66 % | $+18,382.63
KMNOUSDT        | 14       | 14.29 %   |  9.70 % | $-8,735.94
CGPTUSDT        | 11       |  9.09 %   |  6.81 % | $-6,805.69
HIVEUSDT        | 12       | 41.67 %   |  2.74 % | $+3,948.86
DEXEUSDT        | 9        |  0.00 %   |  7.34 % | $-7,341.49
PHAUSDT         | 14       | 28.57 %   |  4.78 % | $-1,062.46
GRIFFAINUSDT    | 10       | 20.00 %   |  8.36 % | $-1,421.75
ZEREBROUSDT     | 10       | 30.00 %   |  7.00 % | $+318.53
BIOUSDT         | 6        |  0.00 %   |  5.49 % | $-5,493.69
COOKIEUSDT      | 11       | 36.36 %   |  4.65 % | $+11,198.68
ALCHUSDT        | 6        | 33.33 %   |  4.93 % | $-3,469.39
SWARMSUSDT      | 12       | 16.67 %   |  6.70 % | $-5,723.55
SONICUSDT       | 12       | 33.33 %   |  3.75 % | $+63.00
DUSDT           | 8        | 25.00 %   |  4.74 % | $-3,068.63
PROMUSDT        | 10       | 40.00 %   |  3.56 % | $+14,264.96
SUSDT           | 10       | 20.00 %   |  5.23 % | $-2,354.35
SOLVUSDT        | 5        | 40.00 %   |  1.47 % | $+929.56
ARCUSDT         | 5        | 40.00 %   |  1.10 % | $+7,238.66
AVAAIUSDT       | 5        | 20.00 %   |  3.17 % | $-1,141.92
TRUMPUSDT       | 8        | 25.00 %   |  4.30 % | $-1,925.10
MELANIAUSDT     | 5        |  0.00 %   |  4.03 % | $-4,034.25
